X,Y,Z,U1,U2,U3,E11,E22,E33,E12,E13,E23,S11,S22,S33,S12,S13,S23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.04,-0.010452893,-0.010452893,0.003464733,0,0,0.086870951,0,-0.128810335,-0.128810335,372304.0773,372304.0773,558456.1159,0,-276022.1472,-276022.1472
0,0,0.08,-0.020609654,-0.020609654,0.006949676,0,0,0.087480183,0,-0.12476817,-0.12476817,374915.0685,374915.0685,562372.6027,0,-267360.365,-267360.365
0,0,0.12,-0.0304158,-0.0304158,0.010463148,0,0,0.088259133,0,-0.12024412,-0.12024412,378253.4272,378253.4272,567380.1409,0,-257665.9705,-257665.9705
0,0,0.16,-0.039848713,-0.039848713,0.014010407,0,0,0.089158718,0,-0.115495544,-0.115495544,382108.791,382108.791,573163.1865,0,-247490.451,-247490.451
0,0,0.2,-0.048895087,-0.048895087,0.017595845,0,0,0.09016523,0,-0.110604054,-0.110604054,386422.4123,386422.4123,579633.6185,0,-237008.6861,-237008.6861
0,0,0.24,-0.057545361,-0.057545361,0.021223625,0,0,0.091274796,0,-0.10560142,-0.10560142,391177.6965,391177.6965,586766.5447,0,-226288.7564,-226288.7564
0,0,0.28,-0.065791314,-0.065791314,0.024897829,0,0,0.092484957,0,-0.100496415,-0.100496415,396364.1025,396364.1025,594546.1537,0,-215349.4599,-215349.4599
0,0,0.32,-0.073624788,-0.073624788,0.028622422,0,0,0.093791306,0,-0.095285531,-0.095285531,401962.7402,401962.7402,602944.1103,0,-204183.28,-204183.28
0,0,0.36,-0.081036999,-0.081036999,0.032401133,0,0,0.095185886,0,-0.089959026,-0.089959026,407939.5135,407939.5135,611909.2702,0,-192769.3418,-192769.3418
0,0,0.4,-0.088018232,-0.088018232,0.036237293,0,0,0.096656288,0,-0.08450517,-0.08450517,414241.2323,414241.2323,621361.8484,0,-181082.5063,-181082.5063
0,0,0.44,-0.094557826,-0.094557826,0.040133636,0,0,0.09818508,0,-0.078913764,-0.078913764,420793.1995,420793.1995,631189.7992,0,-169100.9231,-169100.9231
0,0,0.48,-0.100644434,-0.100644434,0.044092099,0,0,0.09974953,0,-0.073179458,-0.073179458,427497.9847,427497.9847,641246.977,0,-156813.1242,-156813.1242
0,0,0.52,-0.106266539,-0.106266539,0.048113599,0,0,0.101321663,0,-0.06730507,-0.06730507,434235.6976,434235.6976,651353.5464,0,-144225.1503,-144225.1503
0,0,0.56,-0.111413245,-0.111413245,0.052197832,0,0,0.102868837,0,-0.061304948,-0.061304948,440866.4445,440866.4445,661299.6668,0,-131367.7451,-131367.7451
0,0,0.6,-0.116075331,-0.116075331,0.056343106,0,0,0.104355039,0,-0.055208135,-0.055208135,447235.8804,447235.8804,670853.8207,0,-118303.1456,-118303.1456
0,0,0.64,-0.120246547,-0.120246547,0.060546235,0,0,0.105743121,0,-0.049060821,-0.049060821,453184.8028,453184.8028,679777.2043,0,-105130.3317,-105130.3317
0,0,0.68,-0.123925063,-0.123925063,0.064802555,0,0,0.106998132,0,-0.042927149,-0.042927149,458563.4219,458563.4219,687845.1329,0,-91986.74785,-91986.74785
0,0,0.72,-0.127114891,-0.127114891,0.069106086,0,0,0.108091679,0,-0.036886984,-0.036886984,463250.053,463250.053,694875.0796,0,-79043.5369,-79043.5369
0,0,0.76,-0.12982698,-0.12982698,0.07344989,0,0,0.109006863,0,-0.031028897,-0.031028897,467172.2718,467172.2718,700758.4077,0,-66490.49377,-66490.49377
0,0,0.8,-0.132079514,-0.132079514,0.077826635,0,0,0.109742715,0,-0.025436485,-0.025436485,470325.9208,470325.9208,705488.8812,0,-54506.75323,-54506.75323
0,0,0.84,-0.133896818,-0.133896818,0.082229307,0,0,0.110316255,0,-0.020166717,-0.020166717,472783.9493,472783.9493,709175.9239,0,-43214.3942,-43214.3942
0,0,0.88,-0.135306189,-0.135306189,0.086651935,0,0,0.110759489,0,-0.015220304,-0.015220304,474683.523,474683.523,712025.2845,0,-32614.93683,-32614.93683
0,0,0.92,-0.136332066,-0.136332066,0.091090066,0,0,0.111107823,0,-0.010504045,-0.010504045,476176.3834,476176.3834,714264.5752,0,-22508.66688,-22508.66688
0,0,0.96,-0.136986836,-0.136986836,0.095540561,0,0,0.111374176,0,-0.005758683,-0.005758683,477317.8992,477317.8992,715976.8488,0,-12340.03508,-12340.03508
0,0,1,-0.137253455,-0.137253455,0.1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.04,0.04,-0.010439592,-0.010479787,0.003434418,0,-0.001035872,0.086336041,0.00031517,-0.128654419,-0.129546146,365572.1517,363352.4254,550577.9539,675.364151,-275688.0403,-277598.8843
0,0.04,0.08,-0.020584707,-0.020643029,0.006906883,0,-0.001446359,0.087225604,0.000597782,-0.1246303,-0.1256783,367625.3365,364525.9961,554537.345,1280.961399,-267064.9276,-269310.6419
0,0.04,0.12,-0.03038044,-0.030452796,0.010412466,0,-0.00167548,0.088078181,0.00085242,-0.120120186,-0.121363299,370297.2921,366706.9783,559036.252,1826.614285,-257400.3989,-260064.212
0,0.04,0.16,-0.039803937,-0.039888387,0.013953138,0,-0.001831453,0.088998328,0.001083415,-0.115383165,-0.116801312,373572.3212,369647.7794,564283.0235,2321.604418,-247249.6386,-250288.5254
0,0.04,0.2,-0.048841746,-0.048936985,0.017532333,0,-0.001953907,0.090010648,0.001293894,-0.110501676,-0.112083388,377386.0293,373199.0849,570265.9883,2772.629682,-236789.3068,-240178.6894
0,0.04,0.24,-0.057484205,-0.057589248,0.02115399,0,-0.002061328,0.091123903,0.001486177,-0.105507932,-0.107246181,381696.7492,377279.6169,576962.256,3184.664513,-226088.4253,-229813.246
0,0.04,0.28,-0.065723015,-0.06583707,0.024822245,0,-0.002163557,0.092340676,0.00166201,-0.100411,-0.102298485,386473.3677,381837.1742,584346.2451,3561.450842,-215166.4295,-219211.0386
0,0.04,0.32,-0.073549965,-0.073672363,0.028541244,0,-0.002266126,0.093658959,0.001822691,-0.095207602,-0.097233862,391683.5705,386827.5872,592381.339,3905.766872,-204016.2892,-208358.2759
0,0.04,0.36,-0.080956232,-0.081086375,0.032314962,0,-0.002372012,0.095072156,0.001969152,-0.089888172,-0.092037792,397286.3307,392203.4485,601012.3783,4219.611615,-192617.5112,-197223.8393
0,0.04,0.4,-0.087932073,-0.088069395,0.036147016,0,-0.002482374,0.096568701,0.002102038,-0.084441115,-0.086692517,403227.1133,397907.7401,610160.0431,4504.366326,-180945.2457,-185769.6793
0,0.04,0.44,-0.09446681,-0.094610744,0.040040458,0,-0.002596809,0.098131594,0.002221781,-0.078856324,-0.081180994,409434.7927,403870.2028,619716.779,4760.959563,-168977.8368,-173959.2731
