,RMSE,RMSE,RMSE,RMSE,Normalized_RMSE_%,Normalized_RMSE_%,Normalized_RMSE_%,Normalized_RMSE_%
,Claude,GPT5,Grok,DeepSeek,Claude,GPT5,Grok,DeepSeek
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,2.7646245859667946e-08,4.4998939892289085e-11,4.4998939892289085e-11,4.4998939892289085e-11,8.360593050586556e-06,1.3608278898224086e-08,1.3608278898224086e-08,1.3608278898224086e-08
0.002,1.1056392910768281e-07,1.7999376417068607e-10,1.7999376417068607e-10,2.0831680139591534e-10,3.343605524625693e-05,5.4432593806713816e-08,5.4432593806713816e-08,6.299787043036042e-08
0.003,2.486899068751068e-07,4.0497866926627374e-10,4.0497866926627374e-10,9.547540917765282e-10,7.520744170966194e-05,1.2247143458779608e-07,1.2247143458779608e-07,2.887315114899499e-07
0.004,4.419190077209234e-07,7.199439233830856e-10,7.199439233830856e-10,2.4603941267142012e-09,0.00013364319749227066,2.1772226642219265e-07,2.1772226642219265e-07,7.440615416862517e-07
0.005,6.901041316880581e-07,1.1248759244849093e-09,1.1248759244849093e-09,4.98296390150886e-09,0.00020869918735920144,3.4018154730603456e-07,3.4018154730603456e-07,1.506932749904489e-06
0.006,9.930563902060101e-07,1.6197572682520322e-09,1.6197572682520322e-09,8.804091382861124e-09,0.00030031873743599177,4.89844748547772e-07,4.89844748547772e-07,2.6625211160701973e-06
0.007,1.3505452857182194e-06,2.2045667461112942e-09,2.2045667461112942e-09,1.4234423901748438e-08,0.000408432688681617,6.66706354103097e-07,6.66706354103097e-07,4.304782732948647e-06
0.008,1.7622989309560484e-06,2.8792793726365463e-09,2.8792793726365463e-09,2.161905457413945e-08,0.0005329594621656334,8.707598687769093e-07,8.707598687769093e-07,6.538096060758603e-06
0.009000000000000001,2.228004307506037e-06,3.6438664940468654e-09,3.6438664940468654e-09,3.13419575056887e-08,0.0006738051360444136,1.1019978509365049e-06,1.1019978509365049e-06,9.478604628308861e-06
0.01,2.7473075635835337e-06,4.498295812185342e-09,4.498295812185342e-09,4.382931046576354e-08,0.0008308635342123515,1.3604119196504712e-06,1.3604119196504712e-06,1.3255223506236835e-05
0.011,3.3198143506909067e-06,5.442531456351835e-09,5.442531456351835e-09,5.955174150248617e-08,0.0010040163265331958,1.6459927762859707e-06,1.6459927762859707e-06,1.801032058601023e-05
0.012,3.945090198791084e-06,6.476534023570212e-09,6.476534023570212e-09,7.902560220448689e-08,0.0011931331405426373,1.9587302165465094e-06,1.9587302165465094e-06,2.3900103721432232e-05
0.013000000000000001,4.622660929707504e-06,7.600260749699629e-09,7.600260749699629e-09,1.028134038131029e-07,0.0013980716845378902,2.298613182068732e-06,2.298613182068732e-06,3.1094754914493416e-05
0.014,5.3520131083439965e-06,8.813665499262573e-09,8.813665499262573e-09,1.3152356124282516e-07,0.0016186778819347572,2.665629757181607e-06,2.665629757181607e-06,3.977835540147353e-05
0.015,6.132594531401123e-06,1.0116698866613805e-08,1.0116698866613805e-08,1.6580958365570954e-07,0.001854786016798088,3.059767199326847e-06,3.059767199326847e-06,5.014864355388232e-05
0.016,6.963814752948231e-06,1.1509308345500864e-08,1.1509308345500864e-08,2.0636883429886747e-07,0.0021062188903558793,3.481011990154055e-06,3.481011990154055e-06,6.241664268811549e-05
0.017,7.845045646537975e-06,1.2991438375790041e-08,1.2991438375790041e-08,2.5394096248592523e-07,0.0023727879884066056,3.929349849455974e-06,3.929349849455974e-06,7.680618988073328e-05
0.018000000000000002,8.775622003330826e-06,1.4563030418111666e-08,1.4563030418111666e-08,3.093060897096862e-07,0.002654293659463369,4.404765757537696e-06,4.404765757537696e-06,9.35533905674399e-05
0.019,9.754842165516277e-06,1.6224023135919457e-08,1.6224023135919457e-08,3.732828138322363e-07,0.0029505253034240275,4.907244010065815e-06,4.907244010065815e-06,0.00011290601824791728
0.02,1.078196869469173e-05,1.7974352445457094e-08,1.7974352445457094e-08,4.467260797397966e-07,0.003261261570669958,5.436768232957922e-06,5.436768232957922e-06,0.00013512287391343573
0.021,1.1856229074351481e-05,1.981395169582657e-08,1.981395169582657e-08,5.305249525289321e-07,0.003586270571342549,5.993321436616424e-06,5.993321436616424e-06,0.0001604731160882603
0.022,1.2976816446058007e-05,2.1742751689696903e-08,2.1742751689696903e-08,6.256003201915154e-07,0.003925310094673752,6.576886021954797e-06,6.576886021954797e-06,0.00018923556962423182
0.023,1.4142890378374111e-05,2.3760680867375007e-08,2.3760680867375007e-08,7.329025461136175e-07,0.004278127838097937,7.187443835830964e-06,7.187443835830964e-06,0.00022169801937628965
