X,Y,U1,U2,UR3,Total_Displacement,Fixed
0,0,0,0,0,0,1
0,3000,2.644480668,0.021991649,-0.000918607,2.644572109,0
0,6000,5.672191841,0.033423701,-0.000652184,5.672290316,0
0,9000,7.461356645,0.037124457,-0.000339587,7.461449002,0
6000,0,0,0,0,0,1
6000,3000,2.602026006,-0.002654817,-0.000695512,2.60202736,0
6000,6000,5.622156591,-0.003882223,-0.000536027,5.622157932,0
6000,9000,7.409013556,-0.004444827,-0.00023708,7.40901489,0
12000,0,0,0,0,0,1
12000,3000,2.572572364,0.00252371,-0.000691585,2.572573602,0
12000,6000,5.590501889,0.003768523,-0.000536096,5.590503159,0
12000,9000,7.377798866,0.004329154,-0.000237245,7.377800136,0
18000,0,0,0,0,0,1
18000,3000,2.555205178,-0.021860542,-0.000899861,2.555298688,0
18000,6000,5.577345512,-0.033310002,-0.000654987,5.577444981,0
18000,9000,7.367715583,-0.037008784,-0.000339045,7.367808532,0
