X,Y,U1,U2,UR3,Total_Displacement,Fixed
0,0,0,0,0,0,1
0,3000,2.557317875,0.021995547,-0.000906159,2.557412466,0
0,6000,5.509968469,0.033406915,-0.000640487,5.510069742,0
0,9000,7.254508556,0.037091829,-0.000332454,7.254603379,0
6000,0,0,0,0,0,1
6000,3000,2.514920899,-0.002579517,-0.000689659,2.514922221,0
6000,6000,5.459825879,-0.003754534,-0.000530868,5.45982717,0
6000,9000,7.202146494,-0.004298305,-0.00023408,7.202147776,0
12000,0,0,0,0,0,1
12000,3000,2.485548579,0.002444015,-0.000685618,2.485549781,0
12000,6000,5.428144284,0.003637873,-0.000530949,5.428145503,0
12000,9000,7.170936349,0.00417919,-0.000234265,7.170937567,0
18000,0,0,0,0,0,1
18000,3000,2.468242966,-0.021860045,-0.000886959,2.468339766,0
18000,6000,5.415050244,-0.033290255,-0.000643523,5.415152573,0
18000,9000,7.160880724,-0.036972714,-0.000331821,7.160976171,0
