X,Y,Z,U1,U2,U3,UR1,UR2,UR3,Total_Displacement
0,0,0,2.30E-21,-5.83E-22,4.39E-19,6.40E-19,2.04E-18,3.38E-21,4.39E-19
0,0,200,0.000442649,-9.55E-05,-0.010179447,2.61E-07,-1.58E-06,-5.34E-09,0.010189514
0,0,400,0.000885297,-0.000190999,-0.020358893,5.22E-07,-3.16E-06,-1.07E-08,0.020379028
0,0,600,0.001327946,-0.000286499,-0.03053834,7.83E-07,-4.74E-06,-1.60E-08,0.030568541
0,0,800,0.001770595,-0.000381999,-0.040717786,1.04E-06,-6.31E-06,-2.13E-08,0.040758055
0,0,1000,0.002213244,-0.000477498,-0.050897233,1.31E-06,-7.89E-06,-2.67E-08,0.050947569
0,0,1200,0.002655892,-0.000572998,-0.06107668,1.57E-06,-9.47E-06,-3.20E-08,0.061137083
0,0,1400,0.003098541,-0.000668497,-0.071256126,1.83E-06,-1.10E-05,-3.74E-08,0.071326597
0,0,1600,0.00354119,-0.000763997,-0.081435573,2.09E-06,-1.26E-05,-4.27E-08,0.08151611
0,0,1800,0.003983838,-0.000859497,-0.091615019,2.35E-06,-1.42E-05,-4.80E-08,0.091705624
0,0,2000,0.004426487,-0.000954996,-0.101794466,2.61E-06,-1.58E-05,-5.34E-08,0.101895138
0,0,2200,0.004869136,-0.001050496,-0.111973913,2.87E-06,-1.74E-05,-5.87E-08,0.112084652
0,0,2400,0.005311784,-0.001145996,-0.122153359,3.13E-06,-1.89E-05,-6.40E-08,0.122274165
0,0,2600,0.005754433,-0.001241495,-0.132332806,3.39E-06,-2.05E-05,-6.94E-08,0.132463679
0,0,2800,0.006197082,-0.001336995,-0.142512252,3.66E-06,-2.21E-05,-7.47E-08,0.142653193
0,0,3000,-0.006639731,-0.001432495,0.152691699,-3.92E-06,-2.37E-05,8.01E-08,0.152842707
0,0,3200,0.008147922,-0.00082226,-0.159026731,4.14E-06,-2.36E-05,-1.62E-07,0.159237451
0,0,3400,0.009656114,-0.000212026,-0.165361762,4.37E-06,-2.36E-05,-2.45E-07,0.165643587
0,0,3600,0.011164305,0.000398208,-0.171696794,4.59E-06,-2.36E-05,-3.27E-07,0.172059842
0,0,3800,0.012672497,0.001008443,-0.178031825,4.81E-06,-2.35E-05,-4.09E-07,0.178485125
0,0,4000,0.014180688,0.001618677,-0.184366856,5.04E-06,-2.35E-05,-4.91E-07,0.184918495
0,0,4200,0.01568888,0.002228911,-0.190701888,5.26E-06,-2.34E-05,-5.74E-07,0.191359136
0,0,4400,0.017197071,0.002839146,-0.197036919,5.49E-06,-2.34E-05,-6.56E-07,0.197806339
0,0,4600,0.018705263,0.00344938,-0.203371951,5.71E-06,-2.34E-05,-7.38E-07,0.204259481
0,0,4800,0.020213454,0.004059614,-0.209706982,5.93E-06,-2.33E-05,-8.21E-07,0.210718017
0,0,5000,0.021721646,0.004669848,-0.216042014,6.16E-06,-2.33E-05,-9.03E-07,0.217181466
0,0,5200,0.023229837,0.005280083,-0.222377045,6.38E-06,-2.32E-05,-9.85E-07,0.223649402
0,0,5400,0.024738029,0.005890317,-0.228712077,6.61E-06,-2.32E-05,-1.07E-06,0.230121446
0,0,5600,0.02624622,0.006500551,-0.235047108,6.83E-06,-2.32E-05,-1.15E-06,0.236597262
0,0,5800,0.027754412,0.007110786,-0.24138214,7.05E-06,-2.31E-05,-1.23E-06,0.243076548
0,0,6000,-0.029262603,0.00772102,0.247717171,-7.28E-06,-2.31E-05,1.31E-06,0.249559033
0,0,6200,0.031814663,0.016097543,-0.250185637,1.36E-05,-2.49E-05,-1.78E-06,0.252713586
0,0,6400,0.034366723,0.024474066,-0.252654103,1.98E-05,-2.66E-05,-2.24E-06,0.256152586
0,0,6600,0.036918783,0.03285059,-0.255122569,2.61E-05,-2.84E-05,-2.70E-06,0.25986474
0,0,6800,0.039470843,0.041227113,-0.257591035,3.24E-05,-3.02E-05,-3.17E-06,0.263838518
0,0,7000,0.042022903,0.049603636,-0.260059501,3.87E-05,-3.20E-05,-3.63E-06,0.268062286
0,0,7200,0.044574963,0.05798016,-0.262527967,4.50E-05,-3.38E-05,-4.09E-06,0.272524421
0,0,7400,0.047127023,0.066356683,-0.264996433,5.13E-05,-3.56E-05,-4.55E-06,0.277213411
0,0,7600,0.049679083,0.074733206,-0.267464899,5.76E-05,-3.74E-05,-5.02E-06,0.282117946
0,0,7800,0.052231142,0.083109729,-0.269933365,6.38E-05,-3.92E-05,-5.48E-06,0.287226985
0,0,8000,0.054783202,0.091486253,-0.272401831,7.01E-05,-4.09E-05,-5.94E-06,0.292529813
0,0,8200,0.057335262,0.099862776,-0.274870297,7.64E-05,-4.27E-05,-6.41E-06,0.298016085
0,0,8400,0.059887322,0.108239299,-0.277338763,8.27E-05,-4.45E-05,-6.87E-06,0.303675858
0,0,8600,0.062439382,0.116615823,-0.279807229,8.90E-05,-4.63E-05,-7.33E-06,0.309499616
0,0,8800,0.064991442,0.124992346,-0.282275695,9.53E-05,-4.81E-05,-7.79E-06,0.315478275
0,0,9000,-0.067543502,0.133368869,0.284744161,-0.000101541,-4.99E-05,8.26E-06,0.321603199
0,200,3000,0.006789338,0.001433747,0.152523716,3.70E-06,2.37E-05,1.09E-07,0.152681481
0,200,6000,0.029728165,-0.007772211,0.247296967,7.63E-06,2.32E-05,1.35E-06,0.249198638
0,200,9000,0.06841667,-0.133310208,0.284022917,9.76E-05,4.99E-05,8.09E-06,0.321125318
0,400,3000,0.006938946,0.001435,0.152355733,3.48E-06,2.38E-05,1.37E-07,0.152520416
0,400,6000,0.030193727,-0.007823403,0.246876763,7.98E-06,2.32E-05,1.38E-06,0.248839311
0,400,9000,0.069289838,-0.133251547,0.283301673,9.37E-05,4.99E-05,7.93E-06,0.320650736
0,600,3000,0.007088554,0.001436252,0.152187749,3.26E-06,2.38E-05,1.66E-07,0.152359514
0,600,6000,0.030659289,-0.007874594,0.246456559,8.34E-06,2.33E-05,1.41E-06,0.248481059
0,600,9000,0.070163007,-0.133192886,0.282580429,8.98E-05,4.99E-05,7.76E-06,0.320179467
0,800,3000,0.007238162,0.001437504,0.152019766,3.03E-06,2.39E-05,1.94E-07,0.152198773
0,800,6000,0.031124851,-0.007925786,0.246036355,8.69E-06,2.34E-05,1.44E-06,0.248123885
0,800,9000,0.071036175,-0.133134225,0.281859185,8.58E-05,5.00E-05,7.59E-06,0.319711527
0,1000,3000,0.007387769,0.001438757,0.151851783,2.81E-06,2.39E-05,2.23E-07,0.152038196
0,1000,6000,0.031590413,-0.007976977,0.245616151,9.04E-06,2.35E-05,1.48E-06,0.247767794
0,1000,9000,0.071909343,-0.133075563,0.281137941,8.19E-05,5.00E-05,7.43E-06,0.319246928
0,1200,3000,0.007537377,0.001440009,0.151683799,2.59E-06,2.40E-05,2.51E-07,0.151877782
0,1200,6000,0.032055974,-0.008028169,0.245195947,9.39E-06,2.36E-05,1.51E-06,0.247412791
0,1200,9000,0.072782511,-0.133016902,0.280416697,7.80E-05,5.00E-05,7.26E-06,0.318785687
0,1400,3000,0.007686985,0.001441262,0.151515816,2.37E-06,2.40E-05,2.80E-07,0.151717532
0,1400,6000,0.032521536,-0.00807936,0.244775743,9.75E-06,2.37E-05,1.54E-06,0.247058881
0,1400,9000,0.073655679,-0.132958241,0.279695453,7.41E-05,5.00E-05,7.10E-06,0.318327818
0,1600,3000,0.007836592,0.001442514,0.151347833,2.15E-06,2.41E-05,3.09E-07,0.151557446
0,1600,6000,0.032987098,-0.008130552,0.244355539,1.01E-05,2.38E-05,1.58E-06,0.246706068
0,1600,9000,0.074528847,-0.13289958,0.278974209,7.01E-05,5.01E-05,6.93E-06,0.317873335
0,1800,3000,0.0079862,0.001443767,0.151179849,1.93E-06,2.41E-05,3.37E-07,0.151397526
0,1800,6000,0.03345266,-0.008181743,0.243935335,1.05E-05,2.38E-05,1.61E-06,0.246354356
0,1800,9000,0.075402016,-0.132840919,0.278252965,6.62E-05,5.01E-05,6.77E-06,0.317422252
0,2000,3000,0.008135808,0.001445019,0.151011866,1.71E-06,2.42E-05,3.66E-07,0.15123777
0,2000,6000,0.033918222,-0.008232935,0.24351513,1.08E-05,2.39E-05,1.64E-06,0.246003752
0,2000,9000,0.076275184,-0.132782258,0.277531721,6.23E-05,5.01E-05,6.60E-06,0.316974586
0,2200,3000,0.008285416,0.001446272,0.150843883,1.49E-06,2.43E-05,3.94E-07,0.151078181
0,2200,6000,0.034383784,-0.008284127,0.243094926,1.12E-05,2.40E-05,1.67E-06,0.245654258
0,2200,9000,0.077148352,-0.132723596,0.276810477,5.84E-05,5.01E-05,6.43E-06,0.316530349
0,2400,3000,0.008435023,0.001447524,0.1506759,1.27E-06,2.43E-05,4.23E-07,0.150918758
0,2400,6000,0.034849346,-0.008335318,0.242674722,1.15E-05,2.41E-05,1.71E-06,0.245305881
0,2400,9000,0.07802152,-0.132664935,0.276089233,5.44E-05,5.01E-05,6.27E-06,0.316089556
0,2600,3000,0.008584631,0.001448777,0.150507916,1.05E-06,2.44E-05,4.51E-07,0.150759503
0,2600,6000,0.035314908,-0.00838651,0.242254518,1.19E-05,2.42E-05,1.74E-06,0.244958625
0,2600,9000,0.078894688,-0.132606274,0.275367989,5.05E-05,5.02E-05,6.10E-06,0.315652222
0,2800,3000,0.008734239,0.001450029,0.150339933,8.28E-07,2.44E-05,4.80E-07,0.150600415
0,2800,6000,0.03578047,-0.008437701,0.241834314,1.22E-05,2.43E-05,1.77E-06,0.244612494
0,2800,9000,0.079767856,-0.132547613,0.274646745,4.66E-05,5.02E-05,5.94E-06,0.315218361
0,3000,0,2.22E-21,-1.89E-22,4.32E-19,2.46E-19,1.87E-18,2.15E-20,4.32E-19
0,3000,200,0.000592256,-9.68E-05,-0.010011463,4.05E-08,-1.63E-06,-3.39E-08,0.010029433
0,3000,400,0.001184513,-0.000193504,-0.020022927,8.10E-08,-3.26E-06,-6.78E-08,0.020058866
0,3000,600,0.001776769,-0.000290256,-0.03003439,1.21E-07,-4.89E-06,-1.02E-07,0.030088299
0,3000,800,0.002369026,-0.000387008,-0.040045853,1.62E-07,-6.52E-06,-1.36E-07,0.040117732
0,3000,1000,0.002961282,-0.000483761,-0.050057317,2.02E-07,-8.15E-06,-1.70E-07,0.050147165
0,3000,1200,0.003553539,-0.000580513,-0.06006878,2.43E-07,-9.78E-06,-2.03E-07,0.060176598
0,3000,1400,0.004145795,-0.000677265,-0.070080243,2.83E-07,-1.14E-05,-2.37E-07,0.070206031
0,3000,1600,0.004738051,-0.000774017,-0.080091707,3.24E-07,-1.30E-05,-2.71E-07,0.080235464
0,3000,1800,0.005330308,-0.000870769,-0.09010317,3.64E-07,-1.47E-05,-3.05E-07,0.090264897
0,3000,2000,0.005922564,-0.000967521,-0.100114633,4.05E-07,-1.63E-05,-3.39E-07,0.10029433
0,3000,2200,0.006514821,-0.001064273,-0.110126096,4.45E-07,-1.79E-05,-3.73E-07,0.110323763
0,3000,2400,0.007107077,-0.001161025,-0.12013756,4.86E-07,-1.96E-05,-4.07E-07,0.120353196
0,3000,2600,0.007699334,-0.001257778,-0.130149023,5.26E-07,-2.12E-05,-4.41E-07,0.130382629
0,3000,2800,0.00829159,-0.00135453,-0.140160486,5.67E-07,-2.28E-05,-4.75E-07,0.140412062
0,3000,3000,-0.008883847,-0.001451282,0.15017195,-6.07E-07,-2.45E-05,5.09E-07,0.150441495
0,3000,3200,0.010707992,-0.000788604,-0.15625476,1.40E-06,-2.45E-05,-5.95E-07,0.15662322
0,3000,3400,0.012532138,-0.000125925,-0.162337571,2.20E-06,-2.44E-05,-6.81E-07,0.162820629
0,3000,3600,0.014356284,0.000536753,-0.168420382,3.00E-06,-2.44E-05,-7.67E-07,0.169031997
0,3000,3800,0.016180429,0.001199431,-0.174503192,3.80E-06,-2.44E-05,-8.54E-07,0.175255839
0,3000,4000,0.018004575,0.00186211,-0.180586003,4.59E-06,-2.44E-05,-9.40E-07,0.181490872
0,3000,4200,0.01982872,0.002524788,-0.186668814,5.39E-06,-2.44E-05,-1.03E-06,0.187735982
0,3000,4400,0.021652866,0.003187466,-0.192751625,6.19E-06,-2.44E-05,-1.11E-06,0.193990194
0,3000,4600,0.023477012,0.003850144,-0.198834435,6.99E-06,-2.44E-05,-1.20E-06,0.200252656
0,3000,4800,0.025301157,0.004512823,-0.204917246,7.78E-06,-2.44E-05,-1.29E-06,0.206522618
0,3000,5000,0.027125303,0.005175501,-0.211000057,8.58E-06,-2.44E-05,-1.37E-06,0.212799417
0,3000,5200,0.028949449,0.005838179,-0.217082867,9.38E-06,-2.44E-05,-1.46E-06,0.219082464
0,3000,5400,0.030773594,0.006500858,-0.223165678,1.02E-05,-2.44E-05,-1.54E-06,0.225371238
