Node,Node_Coord,X,Y,Z,Fixed,Loaded,U1,U2,U3,UR1,UR2,UR3,Total_Displacement
1,"(1,1)",0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"(2,1)",6000,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"(3,1)",12000,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"(4,1)",18000,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"(1,2)",0,3000,0.0,0,1,2.6444806682599893,0.021991649071197317,0.0,0.0,0.0,-0.0009186071989022543,2.644572108570623
6,"(2,2)",6000,3000,0.0,0,0,2.6020260060276823,-0.0026548168122051273,0.0,0.0,0.0,-0.0006955117721608897,2.602027360366658
7,"(3,2)",12000,3000,0.0,0,0,2.572572364369935,0.0025237097941724373,0.0,0.0,0.0,-0.0006915848774730112,2.572573602257289
8,"(4,2)",18000,3000,0.0,0,0,2.5552051776050506,-0.021860542053147313,0.0,0.0,0.0,-0.0008998606289720977,2.5552986876211783
9,"(1,3)",0,6000,0.0,0,1,5.672191840867913,0.03342370133521511,0.0,0.0,0.0,-0.000652184237321248,5.6722903155092
10,"(2,3)",6000,6000,0.0,0,0,5.622156591234975,-0.003882222674484664,0.0,0.0,0.0,-0.0005360265832903195,5.62215793161485
11,"(3,3)",12000,6000,0.0,0,0,5.59050188911561,0.0037685229725664725,0.0,0.0,0.0,-0.0005360957159136465,5.590503159284556
12,"(4,3)",18000,6000,0.0,0,0,5.577345511596931,-0.033310001633280434,0.0,0.0,0.0,-0.0006549867303349091,5.5774449806286075
13,"(1,4)",0,9000,0.0,0,1,7.4613566453445905,0.037124457487918726,0.0,0.0,0.0,-0.0003395870299122391,7.46144900233002
14,"(2,4)",6000,9000,0.0,0,0,7.409013556364517,-0.004444827347551074,0.0,0.0,0.0,-0.00023708039406943168,7.409014889638388
15,"(3,4)",12000,9000,0.0,0,0,7.377798865534682,0.004329154205317241,0.0,0.0,0.0,-0.00023724502243620477,7.377800135667879
16,"(4,4)",18000,9000,0.0,0,0,7.367715583459916,-0.037008784345668844,0.0,0.0,0.0,-0.000339045165314137,7.36780853231657
