Node,X,Y,Z,U1,U2,U3,UR1,UR2,UR3,Total_Displacement
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,3000.0,0.0,2.6444806682596393,0.02199164907118315,0.0,0.0,0.0,-0.0009186071989021245,2.644572108570273
3,0,6000.0,0.0,5.6721918408671215,0.0334237013351991,0.0,0.0,0.0,-0.0006521842373211652,5.672290315508409
4,0,9000.0,0.0,7.461356645343637,0.03712445748790478,0.0,0.0,0.0,-0.0003395870299122136,7.461449002329067
5,6000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6000.0,3000.0,0.0,2.602026006027331,-0.0026548168122161033,0.0,0.0,0.0,-0.00069551177216079,2.6020273603663067
7,6000.0,6000.0,0.0,5.622156591234176,-0.0038822226744894945,0.0,0.0,0.0,-0.0005360265832902524,5.62215793161405
8,6000.0,9000.0,0.0,7.409013556363561,-0.004444827347551941,0.0,0.0,0.0,-0.00023708039406941607,7.409014889637432
9,12000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12000.0,3000.0,0.0,2.5725723643695924,0.002523709794150129,0.0,0.0,0.0,-0.0006915848774729116,2.572573602256946
11,12000.0,6000.0,0.0,5.590501889114815,0.003768522972542957,0.0,0.0,0.0,-0.0005360957159135773,5.590503159283761
12,12000.0,9000.0,0.0,7.377798865533724,0.0043291542052869385,0.0,0.0,0.0,-0.00023724502243618667,7.377800135666921
13,18000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,18000.0,3000.0,0.0,2.5552051776047,-0.021860542053144694,0.0,0.0,0.0,-0.0008998606289719673,2.5552986876208275
15,18000.0,6000.0,0.0,5.577345511596141,-0.033310001633276666,0.0,0.0,0.0,-0.0006549867303348253,5.577444980627817
16,18000.0,9000.0,0.0,7.367715583458958,-0.037008784345664826,0.0,0.0,0.0,-0.0003390451653141091,7.367808532315611
