Element	Node1	Node2	Type	Length	Sample Points (every 200mm)

0	0	12	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	-0.000000	-0.000000	-0.000000	-6.404997e-19	2.039802e-18	-3.378621e-21
200.0	0.000443	-0.000095	-0.010179	2.611520e-07	-1.578478e-06	-5.337103e-09
400.0	0.000885	-0.000191	-0.020359	5.223039e-07	-3.156957e-06	-1.067421e-08
600.0	0.001328	-0.000286	-0.030538	7.834559e-07	-4.735435e-06	-1.601131e-08
800.0	0.001771	-0.000382	-0.040718	1.044608e-06	-6.313914e-06	-2.134841e-08
1000.0	0.002213	-0.000477	-0.050897	1.305760e-06	-7.892392e-06	-2.668551e-08
1200.0	0.002656	-0.000573	-0.061077	1.566912e-06	-9.470871e-06	-3.202262e-08
1400.0	0.003099	-0.000668	-0.071256	1.828064e-06	-1.104935e-05	-3.735972e-08
1600.0	0.003541	-0.000764	-0.081436	2.089216e-06	-1.262783e-05	-4.269682e-08
1800.0	0.003984	-0.000859	-0.091615	2.350368e-06	-1.420631e-05	-4.803392e-08
2000.0	0.004426	-0.000955	-0.101794	2.611520e-06	-1.578478e-05	-5.337103e-08
2200.0	0.004869	-0.001050	-0.111974	2.872671e-06	-1.736326e-05	-5.870813e-08
2400.0	0.005312	-0.001146	-0.122153	3.133823e-06	-1.894174e-05	-6.404523e-08
2600.0	0.005754	-0.001241	-0.132333	3.394975e-06	-2.052022e-05	-6.938234e-08
2800.0	0.006197	-0.001337	-0.142512	3.656127e-06	-2.209870e-05	-7.471944e-08
3000.0	0.006640	-0.001432	-0.152692	3.917279e-06	-2.367718e-05	-8.005654e-08

1	12	24	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.006640	-0.001432	-0.152692	3.917279e-06	-2.367718e-05	-8.005654e-08
200.0	0.008148	-0.000822	-0.159027	4.141303e-06	-2.363687e-05	-1.623400e-07
400.0	0.009656	-0.000212	-0.165362	4.365326e-06	-2.359656e-05	-2.446235e-07
600.0	0.011164	0.000398	-0.171697	4.589350e-06	-2.355625e-05	-3.269070e-07
800.0	0.012672	0.001008	-0.178032	4.813373e-06	-2.351594e-05	-4.091905e-07
1000.0	0.014181	0.001619	-0.184367	5.037397e-06	-2.347564e-05	-4.914740e-07
1200.0	0.015689	0.002229	-0.190702	5.261420e-06	-2.343533e-05	-5.737575e-07
1400.0	0.017197	0.002839	-0.197037	5.485443e-06	-2.339502e-05	-6.560410e-07
1600.0	0.018705	0.003449	-0.203372	5.709467e-06	-2.335471e-05	-7.383245e-07
1800.0	0.020213	0.004060	-0.209707	5.933490e-06	-2.331440e-05	-8.206080e-07
2000.0	0.021722	0.004670	-0.216042	6.157514e-06	-2.327410e-05	-9.028915e-07
2200.0	0.023230	0.005280	-0.222377	6.381537e-06	-2.323379e-05	-9.851749e-07
2400.0	0.024738	0.005890	-0.228712	6.605561e-06	-2.319348e-05	-1.067458e-06
2600.0	0.026246	0.006501	-0.235047	6.829584e-06	-2.315317e-05	-1.149742e-06
2800.0	0.027754	0.007111	-0.241382	7.053608e-06	-2.311286e-05	-1.232025e-06
3000.0	0.029263	0.007721	-0.247717	7.277631e-06	-2.307256e-05	-1.314309e-06

2	24	36	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.029263	0.007721	-0.247717	7.277631e-06	-2.307256e-05	-1.314309e-06
200.0	0.031815	0.016098	-0.250186	1.356186e-05	-2.485966e-05	-1.777147e-06
400.0	0.034367	0.024474	-0.252654	1.984609e-05	-2.664677e-05	-2.239986e-06
600.0	0.036919	0.032851	-0.255123	2.613032e-05	-2.843388e-05	-2.702824e-06
800.0	0.039471	0.041227	-0.257591	3.241454e-05	-3.022098e-05	-3.165663e-06
1000.0	0.042023	0.049604	-0.260060	3.869877e-05	-3.200809e-05	-3.628501e-06
1200.0	0.044575	0.057980	-0.262528	4.498300e-05	-3.379520e-05	-4.091340e-06
1400.0	0.047127	0.066357	-0.264996	5.126723e-05	-3.558230e-05	-4.554178e-06
1600.0	0.049679	0.074733	-0.267465	5.755146e-05	-3.736941e-05	-5.017017e-06
1800.0	0.052231	0.083110	-0.269933	6.383568e-05	-3.915652e-05	-5.479855e-06
2000.0	0.054783	0.091486	-0.272402	7.011991e-05	-4.094363e-05	-5.942694e-06
2200.0	0.057335	0.099863	-0.274870	7.640414e-05	-4.273073e-05	-6.405532e-06
2400.0	0.059887	0.108239	-0.277339	8.268837e-05	-4.451784e-05	-6.868371e-06
2600.0	0.062439	0.116616	-0.279807	8.897260e-05	-4.630495e-05	-7.331209e-06
2800.0	0.064991	0.124992	-0.282276	9.525683e-05	-4.809205e-05	-7.794048e-06
3000.0	0.067544	0.133369	-0.284744	1.015411e-04	-4.987916e-05	-8.256886e-06

3	4	16	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	-0.000000	-0.000000	-0.000000	-2.464838e-19	1.865141e-18	-2.146152e-20
200.0	0.000592	-0.000097	-0.010011	4.049829e-08	-1.630829e-06	-3.390210e-08
400.0	0.001185	-0.000194	-0.020023	8.099657e-08	-3.261658e-06	-6.780420e-08
600.0	0.001777	-0.000290	-0.030034	1.214949e-07	-4.892487e-06	-1.017063e-07
800.0	0.002369	-0.000387	-0.040046	1.619931e-07	-6.523316e-06	-1.356084e-07
1000.0	0.002961	-0.000484	-0.050057	2.024914e-07	-8.154146e-06	-1.695105e-07
1200.0	0.003554	-0.000581	-0.060069	2.429897e-07	-9.784975e-06	-2.034126e-07
1400.0	0.004146	-0.000677	-0.070080	2.834880e-07	-1.141580e-05	-2.373147e-07
1600.0	0.004738	-0.000774	-0.080092	3.239863e-07	-1.304663e-05	-2.712168e-07
1800.0	0.005330	-0.000871	-0.090103	3.644846e-07	-1.467746e-05	-3.051189e-07
2000.0	0.005923	-0.000968	-0.100115	4.049829e-07	-1.630829e-05	-3.390210e-07
2200.0	0.006515	-0.001064	-0.110126	4.454811e-07	-1.793912e-05	-3.729231e-07
2400.0	0.007107	-0.001161	-0.120138	4.859794e-07	-1.956995e-05	-4.068252e-07
2600.0	0.007699	-0.001258	-0.130149	5.264777e-07	-2.120078e-05	-4.407273e-07
2800.0	0.008292	-0.001355	-0.140160	5.669760e-07	-2.283161e-05	-4.746294e-07
3000.0	0.008884	-0.001451	-0.150172	6.074743e-07	-2.446244e-05	-5.085315e-07

4	16	28	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.008884	-0.001451	-0.150172	6.074743e-07	-2.446244e-05	-5.085315e-07
200.0	0.010708	-0.000789	-0.156255	1.404897e-06	-2.445455e-05	-5.948531e-07
400.0	0.012532	-0.000126	-0.162338	2.202319e-06	-2.444665e-05	-6.811748e-07
600.0	0.014356	0.000537	-0.168420	2.999741e-06	-2.443876e-05	-7.674965e-07
800.0	0.016180	0.001199	-0.174503	3.797164e-06	-2.443087e-05	-8.538181e-07
1000.0	0.018005	0.001862	-0.180586	4.594586e-06	-2.442298e-05	-9.401398e-07
1200.0	0.019829	0.002525	-0.186669	5.392008e-06	-2.441509e-05	-1.026461e-06
1400.0	0.021653	0.003187	-0.192752	6.189431e-06	-2.440720e-05	-1.112783e-06
1600.0	0.023477	0.003850	-0.198834	6.986853e-06	-2.439931e-05	-1.199105e-06
1800.0	0.025301	0.004513	-0.204917	7.784276e-06	-2.439142e-05	-1.285426e-06
2000.0	0.027125	0.005176	-0.211000	8.581698e-06	-2.438353e-05	-1.371748e-06
2200.0	0.028949	0.005838	-0.217083	9.379120e-06	-2.437563e-05	-1.458070e-06
2400.0	0.030774	0.006501	-0.223166	1.017654e-05	-2.436774e-05	-1.544391e-06
2600.0	0.032598	0.007164	-0.229248	1.097397e-05	-2.435985e-05	-1.630713e-06
2800.0	0.034422	0.007826	-0.235331	1.177139e-05	-2.435196e-05	-1.717035e-06
3000.0	0.036246	0.008489	-0.241414	1.256881e-05	-2.434407e-05	-1.803356e-06

5	28	40	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.036246	0.008489	-0.241414	1.256881e-05	-2.434407e-05	-1.803356e-06
200.0	0.039206	0.016756	-0.243582	1.457490e-05	-2.606848e-05	-2.067847e-06
400.0	0.042165	0.025022	-0.245749	1.658099e-05	-2.779289e-05	-2.332338e-06
600.0	0.045125	0.033289	-0.247916	1.858708e-05	-2.951730e-05	-2.596829e-06
800.0	0.048085	0.041556	-0.250084	2.059316e-05	-3.124171e-05	-2.861320e-06
1000.0	0.051044	0.049822	-0.252251	2.259925e-05	-3.296612e-05	-3.125810e-06
1200.0	0.054004	0.058089	-0.254419	2.460534e-05	-3.469053e-05	-3.390301e-06
1400.0	0.056964	0.066356	-0.256586	2.661143e-05	-3.641494e-05	-3.654792e-06
1600.0	0.059923	0.074622	-0.258754	2.861752e-05	-3.813935e-05	-3.919283e-06
1800.0	0.062883	0.082889	-0.260921	3.062361e-05	-3.986376e-05	-4.183774e-06
2000.0	0.065843	0.091156	-0.263088	3.262970e-05	-4.158817e-05	-4.448264e-06
2200.0	0.068802	0.099422	-0.265256	3.463578e-05	-4.331258e-05	-4.712755e-06
2400.0	0.071762	0.107689	-0.267423	3.664187e-05	-4.503699e-05	-4.977246e-06
2600.0	0.074722	0.115956	-0.269591	3.864796e-05	-4.676140e-05	-5.241737e-06
2800.0	0.077681	0.124222	-0.271758	4.065405e-05	-4.848581e-05	-5.506227e-06
3000.0	0.080641	0.132489	-0.273926	4.266014e-05	-5.021022e-05	-5.770718e-06

6	8	20	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	-0.000000	0.000000	-0.000000	2.062603e-20	1.690480e-18	-3.378621e-21
200.0	0.000742	-0.000087	-0.009430	-9.804648e-08	-1.683180e-06	-5.337103e-09
400.0	0.001484	-0.000173	-0.018860	-1.960930e-07	-3.366360e-06	-1.067421e-08
600.0	0.002226	-0.000260	-0.028290	-2.941394e-07	-5.049539e-06	-1.601131e-08
800.0	0.002967	-0.000346	-0.037720	-3.921859e-07	-6.732719e-06	-2.134841e-08
1000.0	0.003709	-0.000433	-0.047150	-4.902324e-07	-8.415899e-06	-2.668551e-08
1200.0	0.004451	-0.000519	-0.056581	-5.882789e-07	-1.009908e-05	-3.202262e-08
