Node	X	Y	Z	ux	uy	uz	θx	θy	θz
0	0	0	0	0.000000	-0.000000	0.000000	6.404997e-19	2.039802e-18	3.378621e-21
1	6000	0	0	0.000000	-0.000000	0.000000	-1.010773e-19	-2.018476e-19	8.651939e-21
2	12000	0	0	-0.000000	-0.000000	0.000000	1.481957e-19	-4.325922e-19	3.416536e-20
3	18000	0	0	-0.000000	-0.000000	0.000000	5.053117e-19	-2.339387e-18	3.363937e-20
4	0	3000	0	0.000000	-0.000000	0.000000	2.464838e-19	1.865141e-18	2.146152e-20
5	6000	3000	0	-0.000000	0.000000	0.000000	-5.266609e-19	-4.019442e-19	2.036223e-20
6	12000	3000	0	-0.000000	0.000000	0.000000	-2.154935e-19	-6.207507e-19	3.264667e-20
7	18000	3000	0	-0.000000	-0.000000	0.000000	2.014590e-19	-2.504846e-18	3.417865e-20
8	0	6000	0	0.000000	0.000000	0.000000	-2.062603e-20	1.690480e-18	3.378621e-21
9	6000	6000	0	-0.000000	0.000000	0.000000	-7.622031e-19	-6.020408e-19	8.651939e-21
10	12000	6000	0	-0.000000	0.000000	0.000000	-5.129301e-19	-8.089092e-19	3.416536e-20
11	18000	6000	0	-0.000000	0.000000	0.000000	-1.558141e-19	-2.670304e-18	3.363937e-20
12	0	0	3000	-0.006640	-0.001432	0.152692	-3.917279e-06	-2.367718e-05	8.005654e-08
13	6000	0	3000	-0.007599	0.005767	0.028724	-4.922317e-06	-5.912935e-06	2.050080e-07
14	12000	0	3000	-0.008676	0.002183	0.026303	-3.420928e-06	-5.062336e-06	8.095495e-07
15	18000	0	3000	-0.009508	-0.002139	0.016610	-2.081809e-06	1.003200e-05	7.970860e-07
16	0	3000	3000	-0.008884	-0.001451	0.150172	-6.074743e-07	-2.446244e-05	5.085315e-07
17	6000	3000	3000	-0.009886	0.005834	0.031008	-1.435335e-06	-6.528706e-06	4.824837e-07
18	12000	3000	3000	-0.011018	0.002251	0.029289	-4.512341e-07	-5.833525e-06	7.735640e-07
19	18000	3000	3000	-0.011867	-0.002074	0.019741	3.913599e-07	9.054285e-06	8.098643e-07
20	0	6000	3000	-0.011128	-0.001298	0.141451	1.470697e-06	-2.524770e-05	8.005654e-08
21	6000	6000	3000	-0.012173	0.005901	0.027091	4.656599e-07	-7.144476e-06	2.050080e-07
22	12000	6000	3000	-0.013361	0.002317	0.026073	1.967048e-06	-6.604715e-06	8.095495e-07
23	18000	6000	3000	-0.014227	-0.002005	0.016671	3.306167e-06	8.076571e-06	7.970860e-07
24	0	0	6000	-0.029263	0.007721	0.247717	-7.277631e-06	-2.307256e-05	1.314309e-06
25	6000	0	6000	-0.030448	0.017832	0.048153	-5.108162e-06	-1.241481e-05	1.443054e-06
26	12000	0	6000	-0.031474	0.005312	0.043816	-2.349747e-06	-6.459708e-06	2.168553e-06
27	18000	0	6000	-0.032370	-0.004836	0.027735	-1.140432e-06	1.117025e-06	2.064273e-06
28	0	3000	6000	-0.036246	0.008489	0.241414	-1.256881e-05	-2.434407e-05	1.803356e-06
29	6000	3000	6000	-0.037445	0.017926	0.051713	-3.299872e-06	-1.334598e-05	1.808703e-06
30	12000	3000	6000	-0.038493	0.005340	0.048678	-5.314257e-07	-7.570971e-06	2.239357e-06
31	18000	3000	6000	-0.039389	-0.004811	0.032822	3.678840e-07	-2.468451e-07	2.270993e-06
32	0	6000	6000	-0.043229	0.007770	0.225014	-3.913844e-06	-2.561558e-05	1.314309e-06
33	6000	6000	6000	-0.044443	0.017881	0.045176	-1.744375e-06	-1.427716e-05	1.443054e-06
34	12000	6000	6000	-0.045511	0.005362	0.043444	1.014040e-06	-8.682234e-06	2.168553e-06
35	18000	6000	6000	-0.046408	-0.004787	0.027812	2.223355e-06	-1.610715e-06	2.064273e-06
36	0	0	9000	-0.067544	0.133369	0.284744	-1.015411e-04	-4.987916e-05	8.256886e-06
37	6000	0	9000	-0.064032	0.038667	0.057890	-1.133677e-05	-1.256897e-05	7.568590e-06
38	12000	0	9000	-0.060713	0.007985	0.052517	-4.132999e-06	-8.064458e-06	3.474877e-06
39	18000	0	9000	-0.057736	-0.006540	0.033444	-3.139515e-06	1.876685e-05	3.308480e-06
40	0	3000	9000	-0.080641	0.132489	0.273926	-4.266014e-05	-5.021022e-05	5.770718e-06
41	6000	3000	9000	-0.076895	0.038388	0.061880	-1.990130e-06	-1.263040e-05	5.908697e-06
42	12000	3000	9000	-0.073175	0.007778	0.058184	-1.899411e-07	-8.823553e-06	3.964920e-06
43	18000	3000	9000	-0.070016	-0.006745	0.039360	1.724952e-07	1.773626e-05	3.809755e-06
44	0	6000	9000	-0.093739	0.132957	0.251347	-9.472127e-05	-5.054127e-05	8.256886e-06
45	6000	6000	9000	-0.089757	0.038256	0.054110	-4.516991e-06	-1.269183e-05	7.568590e-06
46	12000	6000	9000	-0.085637	0.007574	0.052091	2.686783e-06	-9.582647e-06	3.474877e-06
47	18000	6000	9000	-0.082296	-0.006951	0.033517	3.680266e-06	1.670567e-05	3.308480e-06
