s_mm,ux,uy,uz,rx,ry,rz
0.000000,2.259705863e+00,-1.268328576e-04,-2.384724699e-02,-3.987645378e-06,-5.829045239e-04,1.076360912e-16
206.666667,2.258812444e+00,-1.268328576e-04,8.329227227e-02,-3.987645378e-06,-4.555102247e-04,1.124901320e-16
413.333333,2.257919025e+00,-1.268328576e-04,1.650836649e-01,-3.987645378e-06,-3.376000725e-04,1.172147496e-16
620.000000,2.257025606e+00,-1.268328575e-04,2.234869879e-01,-3.987645378e-06,-2.291740675e-04,1.218099429e-16
826.666667,2.256132188e+00,-1.268328575e-04,2.604622985e-01,-3.987645378e-06,-1.302322094e-04,1.262757137e-16
1033.333333,2.255238769e+00,-1.268328575e-04,2.779696535e-01,-3.987645378e-06,-4.077449851e-05,1.306120585e-16
1240.000000,2.254345350e+00,-1.268328574e-04,2.779691102e-01,-3.987645378e-06,3.919906536e-05,1.348189864e-16
1446.666667,2.253451931e+00,-1.268328574e-04,2.624207255e-01,-3.987645378e-06,1.096884822e-04,1.388964883e-16
1653.333333,2.252558513e+00,-1.268328574e-04,2.332845566e-01,-3.987645378e-06,1.706937519e-04,1.428445619e-16
1860.000000,2.251665094e+00,-1.268328574e-04,1.925206604e-01,-3.987645378e-06,2.222148746e-04,1.466632119e-16
2066.666667,2.250771675e+00,-1.268328573e-04,1.420890941e-01,-3.987645378e-06,2.642518502e-04,1.503524426e-16
2273.333333,2.249878256e+00,-1.268328573e-04,8.394991472e-02,-3.987645378e-06,2.968046787e-04,1.539122451e-16
2480.000000,2.248984837e+00,-1.268328573e-04,2.006317928e-02,-3.987645378e-06,3.198733602e-04,1.573426285e-16
2686.666667,2.248091419e+00,-1.268328572e-04,-4.761105514e-02,-3.987645378e-06,3.334578946e-04,1.606435926e-16
2893.333333,2.247198000e+00,-1.268328572e-04,-1.171127315e-01,-3.987645378e-06,3.375582819e-04,1.638151285e-16
3100.000000,2.246304581e+00,-1.268328572e-04,-1.864817926e-01,-3.987645378e-06,3.321745222e-04,1.668572362e-16
3306.666667,2.245411162e+00,-1.268328571e-04,-2.537581816e-01,-3.987645378e-06,3.173066154e-04,1.697699202e-16
3513.333333,2.244517744e+00,-1.268328571e-04,-3.169818413e-01,-3.987645378e-06,2.929545615e-04,1.725531894e-16
3720.000000,2.243624325e+00,-1.268328571e-04,-3.741927147e-01,-3.987645378e-06,2.591183606e-04,1.752070305e-16
3926.666667,2.242730906e+00,-1.268328570e-04,-4.234307447e-01,-3.987645378e-06,2.157980126e-04,1.777314478e-16
4133.333333,2.241837487e+00,-1.268328570e-04,-4.627358742e-01,-3.987645378e-06,1.629935175e-04,1.801264415e-16
4340.000000,2.240944068e+00,-1.268328570e-04,-4.901480462e-01,-3.987645378e-06,1.007048754e-04,1.823920114e-16
4546.666667,2.240050650e+00,-1.268328569e-04,-5.037072037e-01,-3.987645378e-06,2.893208621e-05,1.845281621e-16
4753.333333,2.239157231e+00,-1.268328569e-04,-5.014532895e-01,-3.987645378e-06,-5.232485006e-05,1.865348801e-16
4960.000000,2.238263812e+00,-1.268328568e-04,-4.814262467e-01,-3.987645378e-06,-1.430659334e-04,1.884121811e-16
5166.666667,2.237370393e+00,-1.268328568e-04,-4.416660180e-01,-3.987645378e-06,-2.432911638e-04,1.901600562e-16
5373.333333,2.236476974e+00,-1.268328568e-04,-3.802125466e-01,-3.987645378e-06,-3.530005413e-04,1.917785121e-16
5580.000000,2.235583556e+00,-1.268328567e-04,-2.951057753e-01,-3.987645378e-06,-4.721940658e-04,1.932675408e-16
5786.666667,2.234690137e+00,-1.268328567e-04,-1.843856471e-01,-3.987645378e-06,-6.008717374e-04,1.946271464e-16
5993.333333,2.233796718e+00,-1.268328566e-04,-4.609210482e-02,-3.987645378e-06,-7.390335561e-04,1.958573287e-16
6000.000000,2.233767898e+00,-1.268328566e-04,-4.114983747e-02,-3.987645378e-06,-7.436482935e-04,1.958948572e-16
