X,Y,U1,U2,UR3,Total_Displacement,Fixed
0,0,0,0,0,0,1
0,3000,2.6427727,0.021991735,-0.000918365,2.642864175,0
0,6000,5.6690135,0.03342339,-0.000651956,5.669112028,0
0,9000,7.457304,0.03712384,-0.000339447,7.457396405,0
6000,0,0,0,0,0,1
6000,3000,2.6003191,-0.00265338,-0.000695397,2.600320501,0
6000,6000,5.618976,-0.003879779,-0.000535925,5.618977456,0
6000,9000,7.40496,-0.004442019,-0.000237021,7.404961488,0
12000,0,0,0,0,0,1
12000,3000,2.570867,0.002522189,-0.000691468,2.570868299,0
12000,6000,5.5873213,0.003766022,-0.000535995,5.587322551,0
12000,9000,7.373746,0.004326281,-0.000237186,7.373747187,0
18000,0,0,0,0,0,1
18000,3000,2.5535011,-0.021860546,-0.00089961,2.553594702,0
18000,6000,5.574166,-0.033309635,-0.000654763,5.574265345,0
18000,9000,7.363663,-0.0370081,-0.000338904,7.363756193,0
