X,Y,Z,U1,U2,U3,UR1,UR2,UR3,Total_Displacement
0,0,0,-1.00E-45,0,-1.00E-45,2.62E-32,1.29E-29,3.50E-44,0
0,0,200,0.033072777,-7.51E-05,0.000629261,4.39E-07,0.000222283,-2.95E-21,0.033078846
0,0,400,0.1065293,-0.000227916,0.001258522,7.77E-07,0.000410789,-3.82E-21,0.106536984
0,0,600,0.21383815,-0.000438248,0.001887782,1.01E-06,0.000567758,-2.76E-21,0.21384694
0,0,800,0.34891525,-0.000686003,0.002517043,1.15E-06,0.000695424,1.00E-22,0.348925
0,0,1000,0.5061239,-0.00095106,0.003146304,1.19E-06,0.000796025,4.62E-21,0.50613457
0,0,1200,0.6802749,-0.0012133,0.003775565,1.12E-06,0.000871799,1.07E-20,0.68028647
0,0,1400,0.86662626,-0.001452602,0.004404825,9.58E-07,0.000924981,1.81E-20,0.86663866
0,0,1600,1.0608834,-0.001648846,0.005034086,6.92E-07,0.000957809,2.68E-20,1.0608966
0,0,1800,1.2591993,-0.001781912,0.005663347,3.26E-07,0.00097252,3.66E-20,1.2592132
0,0,2000,1.458174,-0.001831681,0.006292607,-1.41E-07,0.00097135,4.73E-20,1.4581888
0,0,2200,1.6548553,-0.001778031,0.006921868,-7.08E-07,0.000956536,5.89E-20,1.6548706
0,0,2400,1.8467379,-0.001600843,0.007551129,-1.38E-06,0.000930316,7.13E-20,1.846754
0,0,2600,2.0317645,-0.001279996,0.008180389,-2.14E-06,0.000894926,8.41E-20,2.0317812
0,0,2800,2.2083244,-0.000795371,0.00880965,-3.01E-06,0.000852604,9.74E-20,2.208342
0,0,3000,2.375255,-0.000126848,0.009438911,-3.98E-06,0.000805585,1.11E-19,2.375274
0,0,3200,2.5508666,0.000482107,0.009475108,-2.67E-06,0.000876413,1.24E-19,2.5508842
0,0,3400,2.7376754,0.000846604,0.009511306,-1.54E-06,0.000924511,1.38E-19,2.737692
0,0,3600,2.9313595,0.001003001,0.009547503,-5.90E-07,0.000952115,1.54E-19,2.9313753
0,0,3800,3.1280437,0.000987654,0.0095837,1.78E-07,0.000961464,1.71E-19,3.1280584
0,0,4000,3.3243,0.000836919,0.009619897,7.64E-07,0.000954793,1.89E-19,3.324314
0,0,4200,3.517149,0.000587154,0.009656095,1.17E-06,0.000934339,2.07E-19,3.5171623
0,0,4400,3.7040575,0.000274714,0.009692293,1.39E-06,0.00090234,2.27E-19,3.70407
0,0,4600,3.88294,-6.40E-05,0.009728489,1.43E-06,0.000861032,2.47E-19,3.8829522
0,0,4800,4.052159,-0.000392761,0.009764687,1.29E-06,0.000812652,2.67E-19,4.0521708
0,0,5000,4.2105227,-0.000675083,0.009800884,9.68E-07,0.000759438,2.88E-19,4.210534
0,0,5200,4.357289,-0.000874653,0.009837082,4.63E-07,0.000703625,3.08E-19,4.3573
0,0,5400,4.4921613,-0.000955114,0.009873279,-2.23E-07,0.000647451,3.29E-19,4.492172
0,0,5600,4.615291,-0.00088011,0.009909476,-1.09E-06,0.000593153,3.50E-19,4.6153016
0,0,5800,4.7272773,-0.000613283,0.009945674,-2.14E-06,0.000542968,3.70E-19,4.727288
0,0,6000,4.8291664,-0.000118277,0.009981871,-3.37E-06,0.000499132,3.91E-19,4.829177
0,0,6200,4.937608,0.000322899,0.009784553,-1.84E-06,0.000527109,4.12E-19,4.9376173
0,0,6400,5.0491896,0.000482859,0.009587235,-5.61E-07,0.000537486,4.34E-19,5.0491986
0,0,6600,5.160615,0.000413097,0.009389917,4.59E-07,0.0005325,4.57E-19,5.1606236
0,0,6800,5.2690353,0.000165111,0.0091926,1.22E-06,0.000514389,4.80E-19,5.2690434
0,0,7000,5.37205,-0.000209603,0.008995282,1.73E-06,0.000485389,5.05E-19,5.3720574
0,0,7200,5.467704,-0.000659551,0.008797964,1.97E-06,0.000447737,5.30E-19,5.467711
0,0,7400,5.5544906,-0.001133235,0.008600646,1.96E-06,0.00040367,5.55E-19,5.5544972
0,0,7600,5.631351,-0.001579159,0.008403328,1.70E-06,0.000355425,5.81E-19,5.6313577
0,0,7800,5.6976733,-0.001945827,0.008206011,1.17E-06,0.000305239,6.07E-19,5.6976795
0,0,8000,5.753292,-0.002181744,0.008008692,3.88E-07,0.000255348,6.32E-19,5.753298
0,0,8200,5.7984915,-0.002235413,0.007811375,-6.52E-07,0.000207989,6.58E-19,5.798497
0,0,8400,5.8340006,-0.002055337,0.007614057,-1.95E-06,0.0001654,6.83E-19,5.834006
0,0,8600,5.860997,-0.001590022,0.007416739,-3.50E-06,0.000129818,7.08E-19,5.861002
0,0,8800,5.8811064,-0.000787971,0.007219421,-5.32E-06,0.000103478,7.33E-19,5.881111
0,0,9000,5.896401,0.000402313,0.007022103,-7.39E-06,8.86E-05,7.56E-19,5.896405
0,200,3000,2.375255,-0.000118391,0.008132439,-5.88E-06,0.000805585,1.38E-19,2.375269
0,200,6000,4.8291664,-0.000110392,0.00872315,-5.80E-06,0.000499132,4.12E-19,4.8291745
0,200,9000,5.896401,0.000375492,0.005057611,-9.06E-06,8.86E-05,8.16E-19,5.8964033
0,400,3000,2.375255,-0.000109935,0.006588451,-6.82E-06,0.000805585,1.50E-19,2.3752642
0,400,6000,4.8291664,-0.000102507,0.0071284,-7.20E-06,0.000499132,4.30E-19,4.8291717
0,400,9000,5.896401,0.000348671,0.002900742,-9.77E-06,8.86E-05,8.44E-19,5.8964014
0,600,3000,2.375255,-0.000101478,0.00498306,-6.96E-06,0.000805585,1.47E-19,2.3752604
